category,rank,address,userName,total_score,last_rank,last_pnl,pnl_growth_pct,recommendation
mentions,1,0xc40681969b90c1e54527775fa48273a06bef07d9,ChetterHummin,76.8,10,125.10220249400044,1170.81,FOLLOW
mentions,2,0x134a63b764ac7b008356e8db1857db94e6b09e42,Bertapotamous,71.97,38,23.31688000015856,172.01,FOLLOW
mentions,3,0xb5f7d8addbb88193bba6cc32945bde159cce42a9,gambleeveryday,67.68,9,59.05638456150018,634.27,FOLLOW
mentions,4,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,67.15,8,147.38619310550234,4813.39,FOLLOW
mentions,5,0x466948d9d18fcec7a7713a5e6aca8f98ce13a7b8,m0stwant3d,64.56,24,45.16053691458916,2053.52,FOLLOW
economics,1,0xadb4e00b535ae36532764ddfcdbafe48a23f3214,PaulToy,71.97,31,1766.1650125268245,203.69,FOLLOW
economics,2,0xcb3143ee858e14d0b3fe40ffeaea78416e646b02,0xCB3143ee858E14d0B3FE40fFeaEa78416e646B0,69.24,7,39907.80748229957,3133.2,FOLLOW
economics,3,0xdc4f08727c65afc4731b75cf1ed265666b7b4652,third-eye,65.68,35,7722.336613061786,838.67,FOLLOW
economics,4,0xbacd00c9080a82ded56f504ee8810af732b0ab35,ScottyNooo,64.68,1,4975.5291677375935,198.62,FOLLOW
economics,5,0x814de45404c20dd9956737a83f7c8b0b039eb842,resfeber,62.78,50,4825.785045688694,1564.94,FOLLOW
